source_account,owner_account,date,post_url,is_ad,caption_first_line
knewnew.official,knewnew.trend,2026-08-18,https://www.instagram.com/p/DcLPdnNpzBn/,N,💘 빠져들 수 밖에 없는 엔하이픈 입덕 직캠 🎥
knewnew.official,knewnew.official,2026-08-18,https://www.instagram.com/p/DcLL_xvkTcm/,N,🌿 가끔은 혼자 떠나는 하루도 필요하니까.
knewnew.official,knewnew.official,2026-08-18,https://www.instagram.com/p/DcLFDYYkfo6/,N,🏫 서울에도 영감을 얻기 좋은 공간이 가득해.
knewnew.official,knewnew.official,2026-08-18,https://www.instagram.com/p/DcK60PpkUJB/,Y,#광고 흔적 없는 깨끗한 피부 비결?
knewnew.official,knewnew.life,2026-08-18,https://www.instagram.com/p/DcKz-saEUNQ/,N,"🪽 어머, 조명 하나 바꿨더니 방이 달라졌네?"
knewnew.official,knewnew.life,2026-08-18,https://www.instagram.com/p/DcKmPQskmlb/,N,🏠 미노항에서 탐나는 아이템만 모아 <컵>
knewnew.official,knewnew.official,2026-08-18,https://www.instagram.com/p/DcKfWlck9Uf/,Y,"#광고 팀 자취생 주목, 자취방 공기 관리는 이걸로 끝! 🌿"
knewnew.official,knewnew.official,2026-08-18,https://www.instagram.com/p/DcKYap8k1b7/,N,🤨 구움과자까지 마스터해야 진짜 빵순이.
knewnew.official,knewnew.official,2026-08-17,https://www.instagram.com/p/DcI4WSWE37W/,N,🪩 요즘 핫걸들 다 이태원에서 놀던데?
knewnew.official,knewnew.official,2026-08-17,https://www.instagram.com/p/DcI03JAk0fA/,N,🫛 콩국수 먹고 콩물화채 먹으면 고소함 2배.
knewnew.official,knewnew.official,2026-08-17,https://www.instagram.com/p/DcIqmcxRW-S/,Y,"#광고 💜 엔하이픈의 팬 사랑, 비결은 리스테린?"
knewnew.official,knewnew.official,2026-08-17,https://www.instagram.com/p/DcInF4lkfho/,N,🤝 언니랑 취향이 잘 맞아서 부산여행 참 즐거웠어.
knewnew.official,knewnew.style,2026-08-17,https://www.instagram.com/p/DcIEjxTgQd9/,N,#뉴뉴출근룩 📋 8월 2주 차 보고
knewnew.style,knewnew.style,2026-08-17,https://www.instagram.com/p/DcIEjxTgQd9/,N,#뉴뉴출근룩 📋 8월 2주 차 보고
knewnew.official,knewnew.life,2026-08-17,https://www.instagram.com/p/DcICHCskr2A/,N,"🥄 엄마가 몰라서 그렇지, 요즘 애들은 다 이거 써요..."
